# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "-O" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/3126.1.all.q/genomes/tb927_6/tb927_6.gtf" "-o" "/tmp/3126.1.all.q/P1C/counts.txt" "/tmp/3126.1.all.q/P1C/P1Csorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/3126.1.all.q/P1C/P1Csorted.bam
Tb927_08_v4.snoRNA.0001	Tb927_08_v5.1	533918	534035	+	118	403
Tb927_08_v4.snoRNA.0026	Tb927_08_v5.1	534178	534255	+	78	545
Tb927_08_v4.snoRNA.0017	Tb927_08_v5.1	534283	534365	+	83	662
Tb927_08_v4.snoRNA.0007	Tb927_08_v5.1	534458	534531	+	74	488
Tb927_08_v4.snoRNA.0002	Tb927_08_v5.1	534567	534684	+	118	295
Tb927_08_v4.snoRNA.0027	Tb927_08_v5.1	534827	534904	+	78	533
Tb927_08_v4.snoRNA.0018	Tb927_08_v5.1	534932	535014	+	83	665
Tb927_08_v4.snoRNA.0008	Tb927_08_v5.1	535107	535180	+	74	464
Tb927_08_v4.snoRNA.0003	Tb927_08_v5.1	535216	535333	+	118	416
Tb927_08_v4.snoRNA.0028	Tb927_08_v5.1	535476	535553	+	78	542
Tb927_08_v4.snoRNA.0019	Tb927_08_v5.1	535581	535663	+	83	669
Tb927_08_v4.snoRNA.0009	Tb927_08_v5.1	535756	535829	+	74	505
Tb927_08_v4.snoRNA.0004	Tb927_08_v5.1	535865	535982	+	118	292
Tb927_08_v4.snoRNA.0029	Tb927_08_v5.1	536125	536202	+	78	526
Tb927_08_v4.snoRNA.0020	Tb927_08_v5.1	536230	536312	+	83	609
Tb927_08_v4.snoRNA.0010	Tb927_08_v5.1	536405	536478	+	74	481
Tb927_08_v4.snoRNA.0005	Tb927_08_v5.1	536514	536631	+	118	467
Tb927_08_v4.snoRNA.0030	Tb927_08_v5.1	536774	536851	+	78	532
Tb927_08_v4.snoRNA.0021	Tb927_08_v5.1	536879	536961	+	83	522
Tb927.8.1610	Tb927_08_v5.1	537132	538806	+	1675	7192
Tb927.8.1620	Tb927_08_v5.1	539325	541194	+	1870	7680
Tb927.8.1630	Tb927_08_v5.1	541518	543592	+	2075	8019
Tb927.8.1640	Tb927_08_v5.1	543711	546361	+	2651	8474
Tb927.8.1650	Tb927_08_v5.1	545906	548434	+	2529	2652
Tb927_08_v4.snoRNA.0011	Tb927_08_v5.1	549674	549769	+	96	60
Tb927_08_v4.snoRNA.0012	Tb927_08_v5.1	549815	549881	+	67	23
Tb927_08_v4.snoRNA.0031	Tb927_08_v5.1	549933	550026	+	94	37
Tb927_08_v4.snoRNA.0015	Tb927_08_v5.1	550193	550259	+	67	62
Tb927_08_v4.snoRNA.0033	Tb927_08_v5.1	550311	550404	+	94	21
Tb927_08_v4.snoRNA.0013	Tb927_08_v5.1	550571	550637	+	67	49
Tb927_08_v4.snoRNA.0032	Tb927_08_v5.1	550689	550782	+	94	69
Tb927_08_v4.snoRNA.0014	Tb927_08_v5.1	550949	551015	+	67	12
Tb927.8.1660	Tb927_08_v5.1	552495	552753	+	259	19
Tb927.8.1665	Tb927_08_v5.1	555012	557581	-	2570	1879
Tb927.8.1670	Tb927_08_v5.1	558245	560376	-	2132	4521
Tb927.8.1680	Tb927_08_v5.1	560516	561559	-	1044	7134
Tb927.8.1690	Tb927_08_v5.1	561674	564289	-	2616	7795
Tb927.8.1700	Tb927_08_v5.1;Tb927_08_v5.1	564780;564780	566839;567149	-;-	2370	7505
Tb927.8.1710	Tb927_08_v5.1	567268	569337	-	2070	5244
Tb927.8.1720	Tb927_08_v5.1	569436	572297	-	2862	8280
Tb927.8.1730	Tb927_08_v5.1	572606	573019	-	414	1849
Tb927.8.1740	Tb927_08_v5.1	573200	575944	-	2745	8399
Tb927.8.1750	Tb927_08_v5.1	576397	577010	-	614	7179
Tb927.8.1760	Tb927_08_v5.1	576941	577904	-	964	2761
Tb927.8.1770	Tb927_08_v5.1	577615	581715	-	4101	11622
Tb927.8.1780	Tb927_08_v5.1	581859	587851	-	5993	16691
Tb927.8.1790	Tb927_08_v5.1	588516	589644	-	1129	8007
Tb927.8.1800	Tb927_08_v5.1	589559	591527	-	1969	5858
Tb927.8.1810	Tb927_08_v5.1	591914	592911	-	998	4647
Tb927.8.1820	Tb927_08_v5.1	593024	594551	-	1528	4397
Tb927.8.1830	Tb927_08_v5.1	594809	596615	-	1807	6190
Tb927.8.1840	Tb927_08_v5.1	596740	603777	-	7038	19119
Tb927.8.1850	Tb927_08_v5.1	603912	605492	-	1581	3902
Tb927.8.1860	Tb927_08_v5.1	605805	608991	-	3187	8807
Tb927.8.1870	Tb927_08_v5.1	610427	612542	-	2116	51394
Tb927.8.1880	Tb927_08_v5.1	612682	613543	-	862	4721
Tb927.8.1890	Tb927_08_v5.1	613650	615425	-	1776	10720
Tb927.8.1900	Tb927_08_v5.1	615577	617486	-	1910	4090
Tb927.8.1910	Tb927_08_v5.1	617619	619799	-	2181	6665
Tb927.8.1920	Tb927_08_v5.1	619932	620945	-	1014	1905
Tb927.8.1930	Tb927_08_v5.1	621083	621943	-	861	1491
Tb927.8.1940	Tb927_08_v5.1	622032	624115	-	2084	9307
Tb927.8.1945	Tb927_08_v5.1	626529	626988	+	460	5225
Tb927.8.1950	Tb927_08_v5.1	627247	629565	+	2319	9300
Tb927.8.1960	Tb927_08_v5.1	629729	631101	+	1373	10289
Tb927.8.1970	Tb927_08_v5.1	631237	632303	+	1067	2519
Tb927.8.1980	Tb927_08_v5.1	632474	634163	+	1690	5751
Tb927.8.1990	Tb927_08_v5.1	634099	635163	+	1065	35553
Tb927.8.2000	Tb927_08_v5.1	635321	636120	+	800	8110
Tb927.8.2010	Tb927_08_v5.1	636394	637062	+	669	1838
Tb927.8.2020	Tb927_08_v5.1	637229	638533	+	1305	4138
Tb927.8.2030	Tb927_08_v5.1	638651	640119	+	1469	16828
Tb927.8.2040	Tb927_08_v5.1	640593	642333	+	1741	3986
Tb927.8.2050	Tb927_08_v5.1	642480	643754	+	1275	10347
Tb927.8.2060	Tb927_08_v5.1	644161	653337	+	9177	11162
Tb927_08_v4.snoRNA.0022	Tb927_08_v5.1	653501	653583	+	83	740
Tb927_08_v4.snoRNA.0035	Tb927_08_v5.1	653618	653704	+	87	694
Tb927_08_v4.snoRNA.0037	Tb927_08_v5.1	653762	653843	+	82	272
Tb927_08_v4.snoRNA.0040	Tb927_08_v5.1	654055	654119	+	65	330
Tb927.8.2070	Tb927_08_v5.1	654313	654964	+	652	5573
Tb927_08_v4.snoRNA.0041	Tb927_08_v5.1	655717	655781	+	65	335
Tb927.8.2080	Tb927_08_v5.1	655975	656584	+	610	6744
Tb927_08_v4.snoRNA.0023	Tb927_08_v5.1	657195	657277	+	83	379
Tb927_08_v4.snoRNA.0036	Tb927_08_v5.1	657312	657398	+	87	294
Tb927_08_v4.snoRNA.0038	Tb927_08_v5.1	657456	657537	+	82	324
Tb927.8.2090	Tb927_08_v5.1	657734	658456	+	723	2271
Tb927.8.2100	Tb927_08_v5.1	658648	659149	+	502	6207
Tb927.8.2110	Tb927_08_v5.1	659735	661241	+	1507	5661
Tb927.8.2120	Tb927_08_v5.1	661416	662811	+	1396	5141
Tb927.8.2130	Tb927_08_v5.1	662944	664613	+	1670	2913
Tb927.8.2140	Tb927_08_v5.1	665104	665812	+	709	2042
Tb927.8.2150	Tb927_08_v5.1	666282	667505	+	1224	6083
Tb927.8.2160	Tb927_08_v5.1	667647	673216	+	5570	12687
Tb927.8.2170	Tb927_08_v5.1	673583	673919	+	337	1165
Tb927.8.2180	Tb927_08_v5.1	674219	674976	+	758	1854
Tb927.8.2185	Tb927_08_v5.1	675099	675515	+	417	1464
Tb927.8.2190	Tb927_08_v5.1	675639	676274	+	636	2379
Tb927.8.2200	Tb927_08_v5.1	676377	677388	+	1012	9501
Tb927.8.2210	Tb927_08_v5.1	677827	678743	+	917	4466
Tb927.8.2220	Tb927_08_v5.1	679691	684449	+	4759	9902
Tb927.8.2230	Tb927_08_v5.1	684910	685950	+	1041	2329
Tb927.8.2240	Tb927_08_v5.1	686457	687904	+	1448	3728
Tb927.8.2250	Tb927_08_v5.1	688087	690689	+	2603	7987
Tb927_08_v4.snoRNA.0024	Tb927_08_v5.1	691295	691377	+	83	448
Tb927_08_v4.snoRNA.0034	Tb927_08_v5.1	691412	691498	+	87	164
Tb927_08_v4.snoRNA.0039	Tb927_08_v5.1	691556	691637	+	82	338
Tb927_08_v4.snoRNA.0042	Tb927_08_v5.1	691849	691913	+	65	339
Tb927.8.2260	Tb927_08_v5.1	692107	693116	+	1010	6373
Tb927_08_v4.snoRNA.0043	Tb927_08_v5.1	693512	693576	+	65	304
Tb927.8.2270	Tb927_08_v5.1	693770	694421	+	652	2436
Tb927_08_v4.snoRNA.0044	Tb927_08_v5.1	695175	695239	+	65	361
Tb927.8.2280	Tb927_08_v5.1	695433	696930	+	1498	9077
Tb927.8.2290	Tb927_08_v5.1	696623	697976	+	1354	2085
Tb927.8.2300	Tb927_08_v5.1	698120	699347	+	1228	3230
Tb927.8.2310	Tb927_08_v5.1	699459	699962	+	504	11112
Tb927.8.2320	Tb927_08_v5.1	700426	701455	+	1030	6235
Tb927.8.2330	Tb927_08_v5.1	701043	703234	+	2192	4764
Tb927.8.2340	Tb927_08_v5.1	703241	703794	+	554	1400
Tb927.8.2350	Tb927_08_v5.1	704416	705801	+	1386	4836
Tb927.8.2360	Tb927_08_v5.1	705895	706679	+	785	3500
Tb927.8.2370	Tb927_08_v5.1	706786	711807	+	5022	10358
Tb927.8.2380	Tb927_08_v5.1	712995	717111	+	4117	16104
Tb927.8.2390	Tb927_08_v5.1	717467	722349	+	4883	9906
Tb927.8.2395	Tb927_08_v5.1	722512	723148	+	637	1737
Tb927.8.2400	Tb927_08_v5.1	723279	724400	+	1122	2860
Tb927.8.2410	Tb927_08_v5.1	724694	725801	+	1108	3995
Tb927.8.2420	Tb927_08_v5.1	725932	727403	+	1472	4280
Tb927.8.2430	Tb927_08_v5.1	727512	731503	+	3992	8633
Tb927.8.2440	Tb927_08_v5.1	731962	732913	+	952	3106
Tb927.8.2450	Tb927_08_v5.1	733142	734793	+	1652	5803
Tb927.8.2460	Tb927_08_v5.1	734906	735789	+	884	10310
Tb927.8.2470	Tb927_08_v5.1	736651	737076	+	426	1360
Tb927.8.2480	Tb927_08_v5.1	737509	739280	+	1772	5502
Tb8.NT.41	Tb927_08_v5.1	739390	739601	+	212	158
Tb927.8.2490	Tb927_08_v5.1	739706	740872	+	1167	3012
Tb927.8.2500	Tb927_08_v5.1	741004	741895	+	892	2517
Tb927.8.2510	Tb927_08_v5.1	742173	743072	+	900	3836
Tb927.8.2520	Tb927_08_v5.1	743167	748045	+	4879	27262
Tb927.8.2530	Tb927_08_v5.1	747466	748791	+	1326	8498
Tb927.8.2540	Tb927_08_v5.1	749345	751477	+	2133	21949
Tb927.8.2550	Tb927_08_v5.1	751641	755569	+	3929	17296
Tb927.8.2560	Tb927_08_v5.1	755488	756437	+	950	3329
Tb927.8.2570	Tb927_08_v5.1	756297	758354	+	2058	9578
Tb927.8.2580	Tb927_08_v5.1	758535	761843	+	3309	7326
Tb927.8.2590	Tb927_08_v5.1	762392	764086	+	1695	4848
Tb927.8.2600	Tb927_08_v5.1	764939	766887	+	1949	4617
Tb8.NT.42	Tb927_08_v5.1	767297	767521	+	225	224
Tb927.8.2610	Tb927_08_v5.1	767620	770026	+	2407	5119
Tb927.8.2620	Tb927_08_v5.1	770837	773457	+	2621	9049
Tb927.8.2630	Tb927_08_v5.1	774188	776651	+	2464	7345
Tb927.8.2640	Tb927_08_v5.1	778840	782385	+	3546	31954
Tb927.8.2650	Tb927_08_v5.1	783443	784773	+	1331	5806
Tb927.8.2660	Tb927_08_v5.1	784906	791740	+	6835	8453
Tb927.8.2663	Tb927_08_v5.1	793455	793527	+	73	6
Tb927.8.2666	Tb927_08_v5.1	793613	793684	-	72	8
Tb927.8.2670	Tb927_08_v5.1	794576	795942	+	1367	3540
Tb927.8.2680	Tb927_08_v5.1;Tb927_08_v5.1	796080;796200	798142;798142	+;+	2063	3834
Tb927.8.2690	Tb927_08_v5.1	798312	803188	+	4877	6595
Tb927.8.2700	Tb927_08_v5.1	803368	804088	+	721	2756
Tb927.8.2710	Tb927_08_v5.1	804341	806699	+	2359	3993
Tb927.8.2720	Tb927_08_v5.1	806855	808193	+	1339	5182
Tb927.8.2730	Tb927_08_v5.1	808337	810316	+	1980	6691
Tb927.8.2740	Tb927_08_v5.1	810416	811569	+	1154	8794
Tb927.8.2750	Tb927_08_v5.1	813362	815396	+	2035	7375
Tb927.8.2760	Tb927_08_v5.1	815506	817052	+	1547	3084
Tb927.8.2770	Tb927_08_v5.1	817161	828121	+	10961	19502
Tb927.8.2780	Tb927_08_v5.1	828306	830608	+	2303	4367
Tb927.8.2790	Tb927_08_v5.1	837609	837978	+	370	1276
Tb927.8.2800	Tb927_08_v5.1	838351	839679	+	1329	6481
Tb927.8.2810	Tb927_08_v5.1	839858	842576	+	2719	7812
Tb927.8.2820	Tb927_08_v5.1	842710	847057	+	4348	22027
Tb927.8.2830	Tb927_08_v5.1	847223	850113	+	2891	10518
Tb927.8.2840	Tb927_08_v5.1	850222	851750	+	1529	3457
Tb927.8.2850	Tb927_08_v5.1	851926	853813	+	1888	2597
Tb927.8.2851	Tb927_08_v5.1	854289	854362	-	74	8
Tb927.8.2852	Tb927_08_v5.1	854457	854528	+	72	6
Tb927.8.2853	Tb927_08_v5.1	854585	854657	+	73	8
Tb927.8.2854	Tb927_08_v5.1	854728	854800	+	73	7
Tb927.8.2855	Tb927_08_v5.1	857771	857845	-	75	4
Tb927.8.2856	Tb927_08_v5.1	858106	858177	+	72	6
Tb927.8.2857	Tb927_08_v5.1	858265	858346	+	82	6
Tb927.8.2858	Tb927_08_v5.1	858430	858501	-	72	3
Tb927.8.2859	Tb927_08_v5.1	858599	858670	+	72	5
Tb927.8.2861	Tb927_08_v5.1	860996	861256	-	261	481
Tb927.8.2862	Tb927_08_v5.1	861366	861438	+	73	5
Tb927.8.2863	Tb927_08_v5.1	861528	861599	-	72	16
Tb927.8.2864	Tb927_08_v5.1	861696	861839	+	144	115
Tb927.8.2860	Tb927_08_v5.1	865406	868405	-	3000	8942
Tb927.8.2870	Tb927_08_v5.1	868587	870845	-	2259	3046
